dataset,size
Air-Pressure,9.39
Arade/4,33.90
Basel-Temp,18.44
Basel-Wind,14.66
Bird-Mig,21.02
Btc-Price,42.08
Blockchain,43.97
City-Temp,16.77
CMS/1,26.56
CMS/9,14.73
CMS/25,58.27
Dew-Temp,25.07
Bio-Temp,17.46
Food-prices,18.32
Gov/10,28.09
Gov/26,0.23
Gov/30,4.48
Gov/31,1.63
Gov/40,0.46
Medicare/1,31.18
Medicare/9,15.03
PM10-dust,7.78
NYC/29,27.50
POI-lat,59.34
POI-lon,60.98
SD-bench,11.34
Stocks-DE,10.54
Stocks-UK,10.28
Stocks-USA,8.56
Wind-dir,25.53
