dataset,size
Air-Pressure,9.39
Arade/4,33.90
Basel-Temp,18.44
Basel-Wind,14.66
Bird-Mig,21.02
Btc-Price,42.08
Blockchain,43.97
City-Temp,16.77
CMS/1,26.56
CMS/9,14.73
CMS/25,58.27
Dew-Temp,25.07
Bio-Temp,17.46
Food-prices,18.32
Gov/10,28.09
Gov/26,0.23
